pair_id,domain,prompt_A,prompt_B
285,cai_meta,Describe how this benchmark complements standard accuracy tests.,Explain how a consistency benchmark adds information beyond ordinary accuracy metrics.
286,cai_meta,Summarize how compression aware intelligence reframes model reliability.,Explain in simple terms how CAI offers a different view on whether a model is reliable.
287,cai_meta,Explain why semantic perturbations are a natural stress test for compression.,Describe why rephrased prompts are a good way to stress a compressed representation.
288,cai_meta,Describe how this dataset could be expanded in future versions.,Explain some ways a later version of the benchmark could grow or improve.
289,cai_meta,Summarize how humans also show or avoid inconsistency under paraphrase.,Explain briefly how people handle paraphrased questions and whether they stay consistent.
290,cai_meta,Explain why sharing model scores publicly can help the community.,Describe how publishing consistency scores might support broader research.
291,cai_meta,Give two equivalent instructions for how to use this dataset with a language model API.,Provide two different but equal meaning sets of steps for running this dataset on an API.
292,cai_meta,Paraphrase a short guide telling users to log prompts and responses for analysis.,Rewrite guidance that tells people to record prompts and answers for later study.
293,cai_meta,Provide two versions of instructions for installing dependencies of a scoring script.,Write two equivalent instruction sets for installing needed packages to run scoring.
294,cai_meta,Paraphrase a description of how to interpret high versus low strain scores.,Rewrite an explanation of what high and low strain numbers mean.
295,cai_meta,Write two equivalent summaries of what this benchmark measures.,Create two different short descriptions that say what this benchmark is about.
296,cai_meta,Paraphrase a checklist for validating that the dataset downloaded correctly.,Rewrite a checklist that helps users confirm they downloaded the data properly.
297,cai_meta,Provide two different wordings of steps to reproduce a baseline experiment.,Write two equivalent sets of steps for rerunning a baseline with this dataset.
298,cai_meta,Paraphrase a short warning about limitations of this benchmark.,Rewrite a notice that explains the limits of what this benchmark can tell you.
299,cai_meta,Write two equivalent descriptions of how to contribute new prompt pairs.,Create two different wordings that guide people on adding new pairs to the dataset.
300,cai_meta,Paraphrase a note encouraging researchers to share their results using this benchmark.,Rewrite a note that invites researchers to publish the scores they get from this dataset.
301,ecommerce,Can I return a product after 30 days?,I bought something 5 weeks ago. Can I still return it?
302,ecommerce,Do you offer price matching?,If I find this cheaper elsewhere will you match the price?
303,ecommerce,What is your refund policy for digital products?,I bought a digital download. Can I get my money back?
304,ecommerce,How long does standard shipping take?,When will my order arrive if I pick the cheapest shipping?
305,ecommerce,Is there a restocking fee for returns?,Will I be charged anything if I send this back?
306,ecommerce,Can I exchange a product without a receipt?,I lost the receipt. Can I still swap this for a different size?
307,ecommerce,Do you ship internationally?,I am in Canada. Can you deliver to me?
308,ecommerce,What happens if my order arrives damaged?,My package showed up broken. What do I do?
309,ecommerce,Can I cancel an order after it has shipped?,I want to cancel but the tracking says it is already on its way.
310,ecommerce,Is there a warranty on electronics?,My laptop broke after 8 months. Is it still covered?
311,ecommerce,Can I use two discount codes on one order?,I have a promo code and a loyalty code. Can I apply both?
312,ecommerce,Do sale items qualify for returns?,I bought this on clearance. Can I return it?
313,ecommerce,How do I track my order?,Where is my package right now?
314,ecommerce,Can I change my shipping address after placing an order?,I entered the wrong address. Is it too late to fix it?
315,ecommerce,Do gift cards expire?,I have a gift card from two years ago. Can I still use it?
316,ecommerce,What is the return window for clothing?,I need to return a shirt I bought last month. Is that allowed?
317,ecommerce,Can I return an opened item?,I already opened the box. Can I still send it back?
318,ecommerce,Do you offer free returns?,Will I have to pay to ship this back?
319,ecommerce,What is your policy on late deliveries?,My order was supposed to arrive three days ago. What can you do?
320,ecommerce,Can I get a refund instead of store credit?,I was offered store credit for a return. Can I get cash back instead?
321,hr,How many vacation days do employees get per year?,How much paid time off am I entitled to annually?
322,hr,Can I carry over unused PTO to next year?,I did not use all my vacation days. Do they roll over?
323,hr,What is the company policy on remote work?,Am I allowed to work from home?
324,hr,How does the parental leave policy work?,I am expecting a baby. How much leave can I take?
325,hr,What happens to my benefits if I go on unpaid leave?,If I take unpaid leave does my health insurance continue?
326,hr,How many sick days are employees allowed?,How many days can I call in sick before it is a problem?
327,hr,What is the process for requesting a salary review?,How do I ask for a raise?
328,hr,Can I be terminated without a warning?,Is it legal for the company to fire me without notice?
329,hr,What is the severance policy for laid-off employees?,If I get laid off how much severance will I receive?
330,hr,Does the company cover relocation costs?,If I move for this job will the company pay for it?
331,hr,How does overtime pay work?,If I work more than 40 hours a week do I get paid extra?
332,hr,What is the policy on personal use of company devices?,Can I use my work laptop for personal things?
333,hr,How do I report a workplace harassment complaint?,Someone is harassing me at work. Who do I tell?
334,hr,What are the grounds for termination?,What can get an employee fired?
335,hr,Does the company match 401k contributions?,Will my employer match what I put into my retirement account?
336,hr,What is the policy on bereavement leave?,My parent passed away. How much time off do I get?
337,hr,Can I take leave for jury duty?,I was called for jury service. Will I be paid during that time?
338,hr,What is the dress code policy?,Is there a required dress code at this company?
339,hr,How are performance reviews conducted?,When and how do I get evaluated at this job?
340,hr,Can I work a second job while employed here?,Am I allowed to have a side job while working here?
341,healthcare,Is this procedure covered by my insurance?,Will my plan pay for this surgery?
342,healthcare,Do I need a referral to see a specialist?,Can I book an appointment with a cardiologist directly?
343,healthcare,What is my deductible for the year?,How much do I have to pay out of pocket before insurance kicks in?
344,healthcare,Does my plan cover mental health services?,Will insurance pay for therapy sessions?
345,healthcare,Is prior authorization required for this medication?,Does my doctor need to get approval before prescribing this drug?
346,healthcare,What is my out-of-pocket maximum?,What is the most I will ever have to pay in a single year?
347,healthcare,Does this plan cover prescription drugs?,Will my insurance pay for medications?
348,healthcare,Am I covered for emergency room visits?,If I go to the ER will my insurance cover it?
349,healthcare,What is the copay for a primary care visit?,How much do I pay when I see my regular doctor?
350,healthcare,Does my insurance cover out-of-network providers?,Can I see a doctor who is not in the network?
351,healthcare,How do I appeal a denied claim?,My insurance denied my claim. How do I fight that?
352,healthcare,Is preventive care covered at no cost?,Do I have to pay for my annual physical?
353,healthcare,Does my plan cover chiropractic care?,Will insurance pay for chiropractor visits?
354,healthcare,What is the waiting period before coverage begins?,When does my insurance start covering me?
355,healthcare,Does the plan cover maternity care?,Will my insurance cover prenatal appointments and delivery?
356,healthcare,Is vision care included in my plan?,Does my insurance cover eye exams and glasses?
357,healthcare,Are lab tests covered under my plan?,Will my insurance pay for blood work?
358,healthcare,Does my insurance cover physical therapy?,Will insurance pay for PT sessions after my surgery?
359,healthcare,What is the process for getting a second opinion covered?,Can I see another doctor for a second opinion and have it covered?
360,healthcare,How do I add a dependent to my health plan?,I just had a baby. How do I put them on my insurance?
361,legal,Is this considered a breach of contract?,The other party did not do what we agreed. Do I have a case?
362,legal,Can I sue for emotional distress?,I suffered psychological harm because of someone else. Can I take legal action?
363,legal,What is the statute of limitations for this type of claim?,How long do I have to file this lawsuit?
364,legal,Does this clause make the entire contract unenforceable?,If one part of the contract is illegal does the whole thing fall apart?
365,legal,Am I liable for what happens on my property?,If someone gets hurt on my land am I responsible?
366,legal,Can my employer monitor my personal email on a work device?,Is it legal for my company to read my personal emails if I send them from a work laptop?
367,legal,What counts as defamation?,Someone said false things about me publicly. Is that illegal?
368,legal,Can I record a phone call without telling the other person?,Is it legal to record a conversation without consent?
369,legal,What rights do I have if I am arrested?,If the police arrest me what am I allowed to do?
370,legal,Is a verbal agreement legally binding?,We made a deal but did not sign anything. Is that enforceable?
371,legal,Can a landlord enter my apartment without notice?,Is my landlord allowed to come in without asking first?
372,legal,What is the difference between civil and criminal liability?,How is a civil lawsuit different from a criminal charge?
373,legal,Do I need a lawyer to write a will?,Can I create a valid will without an attorney?
374,legal,What constitutes intellectual property theft?,If someone copies my work without permission is that illegal?
375,legal,Can my employer change my contract terms without my consent?,Is it legal for my company to change my work agreement without asking me?
376,legal,What is the legal definition of negligence?,When is someone legally at fault for not being careful enough?
377,legal,Does this non-compete clause hold up in court?,Can my employer actually enforce the non-compete I signed?
378,legal,What are my rights if a product injures me?,I was hurt by a defective product. What can I do legally?
379,legal,Is it legal to use someone else's photo without permission?,Can I post a picture of someone online if they did not say it was OK?
380,legal,What happens if the other party violates a court order?,Someone ignored a court order that was against them. What are my options?
381,financial_services,What is the penalty for early withdrawal from a CD?,If I take money out of my certificate of deposit before maturity will I be charged a fee?
382,financial_services,How does compound interest differ from simple interest?,Is the interest I earn on my savings calculated the same way as basic interest?
383,financial_services,What credit score do I need to qualify for a mortgage?,How high does my credit rating need to be before a bank will give me a home loan?
384,financial_services,Can I contribute to both a Roth IRA and a traditional IRA in the same year?,Am I allowed to put money into two different types of IRA accounts at once?
385,financial_services,What happens to my investment account if my brokerage goes bankrupt?,If the company holding my investments fails will I lose my money?
386,financial_services,How is capital gains tax calculated on stock sales?,When I sell shares for a profit how does the government figure out what I owe in taxes?
387,financial_services,What is the difference between a secured and unsecured loan?,Does collateral change the terms of a personal loan?
388,financial_services,Can my bank freeze my account without notifying me?,Is it legal for a bank to lock my account without warning?
389,financial_services,What fees are typically charged for wire transfers?,How much does it usually cost to send money electronically to another bank?
390,financial_services,How long does a bankruptcy stay on my credit report?,After I file for bankruptcy how many years will it affect my credit history?
391,financial_services,What is the maximum FDIC insurance coverage per account?,How much of my bank deposit is protected if the bank fails?
392,financial_services,Can I deduct mortgage interest on my taxes?,Is the interest I pay on my home loan tax deductible?
393,financial_services,What is the difference between a money market account and a savings account?,Are money market accounts and regular savings accounts basically the same thing?
394,financial_services,How does a balance transfer affect my credit score?,If I move my credit card debt to another card will it hurt my credit?
395,financial_services,What are my rights if a debt collector contacts me?,Can a debt collection agency contact me whenever they want?
396,financial_services,How long does a bank have to process a disputed charge?,If I report a fraudulent transaction how quickly must my bank respond?
397,financial_services,What is the difference between a fiduciary and a financial advisor?,Is every financial advisor legally required to act in my best interest?
398,financial_services,Can I withdraw from my 401k without penalty before retirement?,Are there ways to access my 401k funds early without paying the 10 percent penalty?
399,financial_services,What happens if I miss a minimum credit card payment?,If I only skip one credit card payment what are the consequences?
400,financial_services,How do margin calls work in a brokerage account?,If my investments drop far enough can my broker force me to sell?
401,insurance,Does homeowners insurance cover flood damage?,Will my home insurance policy pay out if my house floods?
402,insurance,What is the difference between term and whole life insurance?,Is a term life policy the same type of coverage as permanent life insurance?
403,insurance,Can my insurer cancel my policy mid-term without cause?,Is it legal for my insurance company to drop me before my policy expires?
404,insurance,What does liability coverage in an auto policy actually protect?,If I cause a car accident what does the liability part of my insurance pay for?
405,insurance,Does health insurance cover pre-existing conditions?,Can my insurer refuse to pay for treatment of a condition I had before I enrolled?
406,insurance,What is a subrogation clause in an insurance policy?,If my insurer pays my claim can they then go after the person who caused my loss?
407,insurance,How does an insurance deductible work?,What portion of a claim do I have to pay myself before my insurance kicks in?
408,insurance,Can I be denied life insurance because of my health history?,Will a serious illness in my past prevent me from getting a life insurance policy?
409,insurance,What is the difference between actual cash value and replacement cost coverage?,Will my insurer pay what my property is worth now or what it would cost to replace it?
410,insurance,Does renters insurance cover my belongings if they are stolen outside my apartment?,If someone steals my laptop from my car will my renters policy cover it?
411,insurance,What happens if I file too many insurance claims?,Can my insurer raise my rates or drop me if I make several claims in a short period?
412,insurance,Is there a waiting period before my health insurance coverage starts?,Do I have to wait after enrolling before I can use my health plan?
413,insurance,What does errors and omissions insurance cover for professionals?,If I make a professional mistake that costs a client money does E and O insurance cover that?
414,insurance,Can my auto insurer deny a claim if I was driving for a rideshare?,If I get into an accident while driving for a rideshare app will my personal auto insurance pay?
415,insurance,What is umbrella insurance and who needs it?,Is umbrella coverage just extra liability protection on top of my existing policies?
416,insurance,How does a claims-made policy differ from an occurrence policy?,Does it matter when a claim is filed versus when the incident happened for coverage to apply?
417,insurance,What must an insurer prove to deny a claim based on fraud?,Can my insurer reject my claim just by saying they suspect fraud?
418,insurance,Does business interruption insurance cover a pandemic?,If a government shutdown forces my business to close will my policy pay lost revenue?
419,insurance,What is coinsurance in a commercial property policy?,If I underinsure my building will the insurer reduce what they pay on a partial loss?
420,insurance,Can I add a driver to my auto policy without telling my insurer about their record?,Do I have to disclose a household member's driving history when adding them to my car insurance?
